	type_of_house	living_space	number_of_rooms	rent	construction_year	street	zipcode	region	tag	latitude	longitude
474	Etagenwohnung	90	3.0	1300	1760	Frankfurter Straße 44	63065	Offenbach am Main, Stadtmitte	/expose/114550472		
475	Etagenwohnung	60	3.0	1400		Lange Straße 20	60311	Frankfurt am Main, Innenstadt	/expose/114555383	50.1090359	50.1090359
476	Etagenwohnung	66	2.0	990	1900	Taunusstr. 43	63067	Offenbach, Stadtmitte	/expose/114557261		
477		111	3.0	1501	2016	Saonestraße 17	60528	Frankfurt am Main, Niederrad	/expose/114554533	50.08309	50.08309
478		105	3.0	1606	2016	Saonestraße 13	60528	Frankfurt am Main, Niederrad	/expose/114554532	50.08309	50.08309
479	Dachgeschoss	25	1.0	525		Heidelberger Straße 81B	64285	Darmstadt, Bessungen	/expose/114551290		
480	Etagenwohnung	202	5.0	3350	1720		60528	Frankfurt, Niederrad	/expose/114554492	50.08309	50.08309
481	Etagenwohnung	138		1980	2001		65812	Bad Soden, Bad Soden am Taunus	/expose/114550189	50.1408	50.1408
482	Etagenwohnung	84	3.0	1360			60388	Frankfurt am Main, Bergen-Enkheim	/expose/114553753	50.15	50.15
483	Etagenwohnung	54	2.0	565	1955	Waldschmidtstraße 85	60314	Frankfurt am Main, Ostend	/expose/114557243	51.21551	51.21551
484		30	1.0	565		Theobald-Christ-Straße 11	60316	Frankfurt am Main, Ostend	/expose/114550244	51.21551	51.21551
485	Etagenwohnung	62	2.0	800		Schneidhainer Straße 6	61462	Königstein im Taunus, Hochtaunuskreis	/expose/114550707	50.28528	50.28528
486	Erdgeschosswohnung	99	3.0	1190	1968		64546	Mörfelden, Mörfelden-Walldorf	/expose/114552459	49.99472	49.99472
487	Etagenwohnung	38	1.0	919	1970		55116	Mainz, Altstadt	/expose/114550318	49.07515	49.07515
488	Etagenwohnung	48	1.0	1050	2014	Gerbermühlstraße 25	60594	Frankfurt am Main, Sachsenhausen-Nord	/expose/114556984	50.1045694	50.1045694
489		89	3.0	1391	2015	Speicherstraße 26	60327	Frankfurt am Main, Gutleutviertel	/expose/114554529	50.1008916	50.1008916
490		112	4.0	1480	1925		61184	Karben, Wetteraukreis	/expose/114556788	50.36278	50.36278
491		40	2.0	820	1975		60318	Frankfurt am Main, Nordend-West	/expose/114550604	50.12988	50.12988
492	Etagenwohnung	54	2.0	790	1996		61118	Bad Vilbel, Wetteraukreis	/expose/114554663	50.36278	50.36278
493	Etagenwohnung	115	4.0	1360		Frankfurter Str. 44	63065	Offenbach am Main, Stadtmitte	/expose/114551007		
494	Etagenwohnung	90	3.0	1300	1760	Frankfurter Straße 44	63065	Offenbach am Main, Stadtmitte	/expose/114550472		
495	Etagenwohnung	60	3.0	1400		Lange Straße 20	60311	Frankfurt am Main, Innenstadt	/expose/114555383	50.1090359	50.1090359
496	Etagenwohnung	66	2.0	990	1900	Taunusstr. 43	63067	Offenbach, Stadtmitte	/expose/114557261		
497		111	3.0	1501	2016	Saonestraße 17	60528	Frankfurt am Main, Niederrad	/expose/114554533	50.08309	50.08309
498		105	3.0	1606	2016	Saonestraße 13	60528	Frankfurt am Main, Niederrad	/expose/114554532	50.08309	50.08309
499	Dachgeschoss	25	1.0	525		Heidelberger Straße 81B	64285	Darmstadt, Bessungen	/expose/114551290		
500	Etagenwohnung	202	5.0	3350	1720		60528	Frankfurt, Niederrad	/expose/114554492	50.08309	50.08309
501	Etagenwohnung	138		1980	2001		65812	Bad Soden, Bad Soden am Taunus	/expose/114550189	50.1408	50.1408
502	Etagenwohnung	84	3.0	1360			60388	Frankfurt am Main, Bergen-Enkheim	/expose/114553753	50.15	50.15
503	Etagenwohnung	54	2.0	565	1955	Waldschmidtstraße 85	60314	Frankfurt am Main, Ostend	/expose/114557243	51.21551	51.21551
504		30	1.0	565		Theobald-Christ-Straße 11	60316	Frankfurt am Main, Ostend	/expose/114550244	51.21551	51.21551
505	Etagenwohnung	62	2.0	800		Schneidhainer Straße 6	61462	Königstein im Taunus, Hochtaunuskreis	/expose/114550707	50.28528	50.28528
506	Erdgeschosswohnung	99	3.0	1190	1968		64546	Mörfelden, Mörfelden-Walldorf	/expose/114552459	49.99472	49.99472
507	Etagenwohnung	38	1.0	919	1970		55116	Mainz, Altstadt	/expose/114550318	49.07515	49.07515
508	Etagenwohnung	48	1.0	1050	2014	Gerbermühlstraße 25	60594	Frankfurt am Main, Sachsenhausen-Nord	/expose/114556984	50.1045694	50.1045694
509		89	3.0	1391	2015	Speicherstraße 26	60327	Frankfurt am Main, Gutleutviertel	/expose/114554529	50.1008916	50.1008916
510		112	4.0	1480	1925		61184	Karben, Wetteraukreis	/expose/114556788	50.36278	50.36278
511		40	2.0	820	1975		60318	Frankfurt am Main, Nordend-West	/expose/114550604	50.12988	50.12988
512	Etagenwohnung	54	2.0	790	1996		61118	Bad Vilbel, Wetteraukreis	/expose/114554663	50.36278	50.36278
513	Etagenwohnung	115	4.0	1360		Frankfurter Str. 44	63065	Offenbach am Main, Stadtmitte	/expose/114551007		
514	Etagenwohnung	90	3.0	1300	1760	Frankfurter Straße 44	63065	Offenbach am Main, Stadtmitte	/expose/114550472		
515	Etagenwohnung	60	3.0	1400		Lange Straße 20	60311	Frankfurt am Main, Innenstadt	/expose/114555383	50.1090359	50.1090359
516	Etagenwohnung	66	2.0	990	1900	Taunusstr. 43	63067	Offenbach, Stadtmitte	/expose/114557261		
517		111	3.0	1501	2016	Saonestraße 17	60528	Frankfurt am Main, Niederrad	/expose/114554533	50.08309	50.08309
518		105	3.0	1606	2016	Saonestraße 13	60528	Frankfurt am Main, Niederrad	/expose/114554532	50.08309	50.08309
519	Dachgeschoss	25	1.0	525		Heidelberger Straße 81B	64285	Darmstadt, Bessungen	/expose/114551290		
520	Etagenwohnung	202	5.0	3350	1720		60528	Frankfurt, Niederrad	/expose/114554492	50.08309	50.08309
521	Etagenwohnung	138		1980	2001		65812	Bad Soden, Bad Soden am Taunus	/expose/114550189	50.1408	50.1408
522	Etagenwohnung	84	3.0	1360			60388	Frankfurt am Main, Bergen-Enkheim	/expose/114553753	50.15	50.15
523	Etagenwohnung	54	2.0	565	1955	Waldschmidtstraße 85	60314	Frankfurt am Main, Ostend	/expose/114557243	51.21551	51.21551
524		30	1.0	565		Theobald-Christ-Straße 11	60316	Frankfurt am Main, Ostend	/expose/114550244	51.21551	51.21551
525	Etagenwohnung	62	2.0	800		Schneidhainer Straße 6	61462	Königstein im Taunus, Hochtaunuskreis	/expose/114550707	50.28528	50.28528
526	Erdgeschosswohnung	99	3.0	1190	1968		64546	Mörfelden, Mörfelden-Walldorf	/expose/114552459	49.99472	49.99472
527	Etagenwohnung	38	1.0	919	1970		55116	Mainz, Altstadt	/expose/114550318	49.07515	49.07515
528	Etagenwohnung	48	1.0	1050	2014	Gerbermühlstraße 25	60594	Frankfurt am Main, Sachsenhausen-Nord	/expose/114556984	50.1045694	50.1045694
529		89	3.0	1391	2015	Speicherstraße 26	60327	Frankfurt am Main, Gutleutviertel	/expose/114554529	50.1008916	50.1008916
530		112	4.0	1480	1925		61184	Karben, Wetteraukreis	/expose/114556788	50.36278	50.36278
531		40	2.0	820	1975		60318	Frankfurt am Main, Nordend-West	/expose/114550604	50.12988	50.12988
532	Etagenwohnung	54	2.0	790	1996		61118	Bad Vilbel, Wetteraukreis	/expose/114554663	50.36278	50.36278
533	Etagenwohnung	115	4.0	1360		Frankfurter Str. 44	63065	Offenbach am Main, Stadtmitte	/expose/114551007		
534	Etagenwohnung	90	3.0	1300	1760	Frankfurter Straße 44	63065	Offenbach am Main, Stadtmitte	/expose/114550472		
535	Etagenwohnung	60	3.0	1400		Lange Straße 20	60311	Frankfurt am Main, Innenstadt	/expose/114555383	50.1090359	50.1090359
536	Etagenwohnung	66	2.0	990	1900	Taunusstr. 43	63067	Offenbach, Stadtmitte	/expose/114557261		
537		111	3.0	1501	2016	Saonestraße 17	60528	Frankfurt am Main, Niederrad	/expose/114554533	50.08309	50.08309
538		105	3.0	1606	2016	Saonestraße 13	60528	Frankfurt am Main, Niederrad	/expose/114554532	50.08309	50.08309
539	Dachgeschoss	25	1.0	525		Heidelberger Straße 81B	64285	Darmstadt, Bessungen	/expose/114551290		
540	Etagenwohnung	202	5.0	3350	1720		60528	Frankfurt, Niederrad	/expose/114554492	50.08309	50.08309
541	Etagenwohnung	138		1980	2001		65812	Bad Soden, Bad Soden am Taunus	/expose/114550189	50.1408	50.1408
542	Etagenwohnung	84	3.0	1360			60388	Frankfurt am Main, Bergen-Enkheim	/expose/114553753	50.15	50.15
543	Etagenwohnung	54	2.0	565	1955	Waldschmidtstraße 85	60314	Frankfurt am Main, Ostend	/expose/114557243	51.21551	51.21551
544		30	1.0	565		Theobald-Christ-Straße 11	60316	Frankfurt am Main, Ostend	/expose/114550244	51.21551	51.21551
545	Etagenwohnung	62	2.0	800		Schneidhainer Straße 6	61462	Königstein im Taunus, Hochtaunuskreis	/expose/114550707	50.28528	50.28528
546	Erdgeschosswohnung	99	3.0	1190	1968		64546	Mörfelden, Mörfelden-Walldorf	/expose/114552459	49.99472	49.99472
547	Etagenwohnung	38	1.0	919	1970		55116	Mainz, Altstadt	/expose/114550318	49.07515	49.07515
548	Etagenwohnung	48	1.0	1050	2014	Gerbermühlstraße 25	60594	Frankfurt am Main, Sachsenhausen-Nord	/expose/114556984	50.1045694	50.1045694
549		89	3.0	1391	2015	Speicherstraße 26	60327	Frankfurt am Main, Gutleutviertel	/expose/114554529	50.1008916	50.1008916
550		112	4.0	1480	1925		61184	Karben, Wetteraukreis	/expose/114556788	50.36278	50.36278
551		40	2.0	820	1975		60318	Frankfurt am Main, Nordend-West	/expose/114550604	50.12988	50.12988
552	Etagenwohnung	54	2.0	790	1996		61118	Bad Vilbel, Wetteraukreis	/expose/114554663	50.36278	50.36278
553	Etagenwohnung	115	4.0	1360		Frankfurter Str. 44	63065	Offenbach am Main, Stadtmitte	/expose/114551007		
554	Etagenwohnung	90	3.0	1300	1760	Frankfurter Straße 44	63065	Offenbach am Main, Stadtmitte	/expose/114550472		
555	Etagenwohnung	60	3.0	1400		Lange Straße 20	60311	Frankfurt am Main, Innenstadt	/expose/114555383	50.1090359	50.1090359
556	Etagenwohnung	66	2.0	990	1900	Taunusstr. 43	63067	Offenbach, Stadtmitte	/expose/114557261		
557		111	3.0	1501	2016	Saonestraße 17	60528	Frankfurt am Main, Niederrad	/expose/114554533	50.08309	50.08309
558		105	3.0	1606	2016	Saonestraße 13	60528	Frankfurt am Main, Niederrad	/expose/114554532	50.08309	50.08309
559	Dachgeschoss	25	1.0	525		Heidelberger Straße 81B	64285	Darmstadt, Bessungen	/expose/114551290		
560	Etagenwohnung	202	5.0	3350	1720		60528	Frankfurt, Niederrad	/expose/114554492	50.08309	50.08309
561	Etagenwohnung	138		1980	2001		65812	Bad Soden, Bad Soden am Taunus	/expose/114550189	50.1408	50.1408
562	Etagenwohnung	84	3.0	1360			60388	Frankfurt am Main, Bergen-Enkheim	/expose/114553753	50.15	50.15
563	Etagenwohnung	54	2.0	565	1955	Waldschmidtstraße 85	60314	Frankfurt am Main, Ostend	/expose/114557243	51.21551	51.21551
564		30	1.0	565		Theobald-Christ-Straße 11	60316	Frankfurt am Main, Ostend	/expose/114550244	51.21551	51.21551
565	Etagenwohnung	62	2.0	800		Schneidhainer Straße 6	61462	Königstein im Taunus, Hochtaunuskreis	/expose/114550707	50.28528	50.28528
566	Erdgeschosswohnung	99	3.0	1190	1968		64546	Mörfelden, Mörfelden-Walldorf	/expose/114552459	49.99472	49.99472
567	Etagenwohnung	38	1.0	919	1970		55116	Mainz, Altstadt	/expose/114550318	49.07515	49.07515
568	Etagenwohnung	48	1.0	1050	2014	Gerbermühlstraße 25	60594	Frankfurt am Main, Sachsenhausen-Nord	/expose/114556984	50.1045694	50.1045694
569		89	3.0	1391	2015	Speicherstraße 26	60327	Frankfurt am Main, Gutleutviertel	/expose/114554529	50.1008916	50.1008916
570		112	4.0	1480	1925		61184	Karben, Wetteraukreis	/expose/114556788	50.36278	50.36278
571		40	2.0	820	1975		60318	Frankfurt am Main, Nordend-West	/expose/114550604	50.12988	50.12988
572	Etagenwohnung	54	2.0	790	1996		61118	Bad Vilbel, Wetteraukreis	/expose/114554663	50.36278	50.36278
573	Etagenwohnung	115	4.0	1360		Frankfurter Str. 44	63065	Offenbach am Main, Stadtmitte	/expose/114551007		
574	Etagenwohnung	90	3.0	1300	1760	Frankfurter Straße 44	63065	Offenbach am Main, Stadtmitte	/expose/114550472		
575	Etagenwohnung	60	3.0	1400		Lange Straße 20	60311	Frankfurt am Main, Innenstadt	/expose/114555383	50.1090359	50.1090359
576	Etagenwohnung	66	2.0	990	1900	Taunusstr. 43	63067	Offenbach, Stadtmitte	/expose/114557261		
577		111	3.0	1501	2016	Saonestraße 17	60528	Frankfurt am Main, Niederrad	/expose/114554533	50.08309	50.08309
578		105	3.0	1606	2016	Saonestraße 13	60528	Frankfurt am Main, Niederrad	/expose/114554532	50.08309	50.08309
579	Dachgeschoss	25	1.0	525		Heidelberger Straße 81B	64285	Darmstadt, Bessungen	/expose/114551290		
580	Etagenwohnung	202	5.0	3350	1720		60528	Frankfurt, Niederrad	/expose/114554492	50.08309	50.08309
581	Etagenwohnung	138		1980	2001		65812	Bad Soden, Bad Soden am Taunus	/expose/114550189	50.1408	50.1408
582	Etagenwohnung	84	3.0	1360			60388	Frankfurt am Main, Bergen-Enkheim	/expose/114553753	50.15	50.15
583	Etagenwohnung	54	2.0	565	1955	Waldschmidtstraße 85	60314	Frankfurt am Main, Ostend	/expose/114557243	51.21551	51.21551
584		30	1.0	565		Theobald-Christ-Straße 11	60316	Frankfurt am Main, Ostend	/expose/114550244	51.21551	51.21551
585	Etagenwohnung	62	2.0	800		Schneidhainer Straße 6	61462	Königstein im Taunus, Hochtaunuskreis	/expose/114550707	50.28528	50.28528
586	Erdgeschosswohnung	99	3.0	1190	1968		64546	Mörfelden, Mörfelden-Walldorf	/expose/114552459	49.99472	49.99472
587	Etagenwohnung	38	1.0	919	1970		55116	Mainz, Altstadt	/expose/114550318	49.07515	49.07515
588	Etagenwohnung	48	1.0	1050	2014	Gerbermühlstraße 25	60594	Frankfurt am Main, Sachsenhausen-Nord	/expose/114556984	50.1045694	50.1045694
589		89	3.0	1391	2015	Speicherstraße 26	60327	Frankfurt am Main, Gutleutviertel	/expose/114554529	50.1008916	50.1008916
590		112	4.0	1480	1925		61184	Karben, Wetteraukreis	/expose/114556788	50.36278	50.36278
591		40	2.0	820	1975		60318	Frankfurt am Main, Nordend-West	/expose/114550604	50.12988	50.12988
592	Etagenwohnung	54	2.0	790	1996		61118	Bad Vilbel, Wetteraukreis	/expose/114554663	50.36278	50.36278
593	Etagenwohnung	115	4.0	1360		Frankfurter Str. 44	63065	Offenbach am Main, Stadtmitte	/expose/114551007		
594	Etagenwohnung	90	3.0	1300	1760	Frankfurter Straße 44	63065	Offenbach am Main, Stadtmitte	/expose/114550472		
595	Etagenwohnung	60	3.0	1400		Lange Straße 20	60311	Frankfurt am Main, Innenstadt	/expose/114555383	50.1090359	50.1090359
596	Etagenwohnung	66	2.0	990	1900	Taunusstr. 43	63067	Offenbach, Stadtmitte	/expose/114557261		
597		111	3.0	1501	2016	Saonestraße 17	60528	Frankfurt am Main, Niederrad	/expose/114554533	50.08309	50.08309
598		105	3.0	1606	2016	Saonestraße 13	60528	Frankfurt am Main, Niederrad	/expose/114554532	50.08309	50.08309
599	Dachgeschoss	25	1.0	525		Heidelberger Straße 81B	64285	Darmstadt, Bessungen	/expose/114551290		
600	Etagenwohnung	202	5.0	3350	1720		60528	Frankfurt, Niederrad	/expose/114554492	50.08309	50.08309
601	Etagenwohnung	138		1980	2001		65812	Bad Soden, Bad Soden am Taunus	/expose/114550189	50.1408	50.1408
602	Etagenwohnung	84	3.0	1360			60388	Frankfurt am Main, Bergen-Enkheim	/expose/114553753	50.15	50.15
603	Etagenwohnung	54	2.0	565	1955	Waldschmidtstraße 85	60314	Frankfurt am Main, Ostend	/expose/114557243	51.21551	51.21551
604		30	1.0	565		Theobald-Christ-Straße 11	60316	Frankfurt am Main, Ostend	/expose/114550244	51.21551	51.21551
605	Etagenwohnung	62	2.0	800		Schneidhainer Straße 6	61462	Königstein im Taunus, Hochtaunuskreis	/expose/114550707	50.28528	50.28528
606	Erdgeschosswohnung	99	3.0	1190	1968		64546	Mörfelden, Mörfelden-Walldorf	/expose/114552459	49.99472	49.99472
607	Etagenwohnung	38	1.0	919	1970		55116	Mainz, Altstadt	/expose/114550318	49.07515	49.07515
608	Etagenwohnung	48	1.0	1050	2014	Gerbermühlstraße 25	60594	Frankfurt am Main, Sachsenhausen-Nord	/expose/114556984	50.1045694	50.1045694
609		89	3.0	1391	2015	Speicherstraße 26	60327	Frankfurt am Main, Gutleutviertel	/expose/114554529	50.1008916	50.1008916
610		112	4.0	1480	1925		61184	Karben, Wetteraukreis	/expose/114556788	50.36278	50.36278
611		40	2.0	820	1975		60318	Frankfurt am Main, Nordend-West	/expose/114550604	50.12988	50.12988
612	Etagenwohnung	54	2.0	790	1996		61118	Bad Vilbel, Wetteraukreis	/expose/114554663	50.36278	50.36278
613	Etagenwohnung	115	4.0	1360		Frankfurter Str. 44	63065	Offenbach am Main, Stadtmitte	/expose/114551007		
614	Etagenwohnung	90	3.0	1300	1760	Frankfurter Straße 44	63065	Offenbach am Main, Stadtmitte	/expose/114550472		
615	Etagenwohnung	60	3.0	1400		Lange Straße 20	60311	Frankfurt am Main, Innenstadt	/expose/114555383	50.1090359	50.1090359
616	Etagenwohnung	66	2.0	990	1900	Taunusstr. 43	63067	Offenbach, Stadtmitte	/expose/114557261		
617		111	3.0	1501	2016	Saonestraße 17	60528	Frankfurt am Main, Niederrad	/expose/114554533	50.08309	50.08309
618		105	3.0	1606	2016	Saonestraße 13	60528	Frankfurt am Main, Niederrad	/expose/114554532	50.08309	50.08309
619	Dachgeschoss	25	1.0	525		Heidelberger Straße 81B	64285	Darmstadt, Bessungen	/expose/114551290		
620	Etagenwohnung	202	5.0	3350	1720		60528	Frankfurt, Niederrad	/expose/114554492	50.08309	50.08309
621	Etagenwohnung	78	3.0	1320	2019	Hafenallee 23	63067	Offenbach, Stadtmitte	/expose/112968129		
622		49	2.0	850	2019	Neckarstraße 4	63225	Langen, Langen (Hessen)	/expose/112880472	49.98955	49.98955
623		105	3.0	1950	2019	Buchrainweg 100	63069	Offenbach, Lauterborn	/expose/113237106	50.093646	50.093646
624	Erdgeschosswohnung	49	2.0	850	2019	Neckarstraße 4	63225	Langen, Langen (Hessen)	/expose/105604936	49.98955	49.98955
625	Etagenwohnung	54	2.0	565	1955	Waldschmidtstraße 85	60314	Frankfurt am Main, Ostend	/expose/114557243	51.21551	51.21551
626	Etagenwohnung	21	1.0	865		Kaiserstraße 73	63065	Offenbach am Main, Stadtmitte	/expose/112215293		
627	Etagenwohnung	73	2.0	1305	2019	Hafenallee 31	63067	Offenbach, Stadtmitte	/expose/114435921		
628	Dachgeschoss	123	4.0	1907	2018		61184	Karben, Wetteraukreis	/expose/108858102	50.36278	50.36278
629	Etagenwohnung	101	3.0	1660	2019	Bettinastr. 77-81	63067	Offenbach am Main, Stadtmitte	/expose/113232549		
630	Etagenwohnung	63	2.0	1200	2019	Hafenallee 39	63067	Offenbach, Stadtmitte	/expose/114435884		
631	Etagenwohnung	21	1.0	865		Kaiserstraße 73	63065	Offenbach am Main, Stadtmitte	/expose/112215054		
632	Etagenwohnung	85	2.0	1245	2018		61184	Karben, Wetteraukreis	/expose/109024834	50.36278	50.36278
633	Etagenwohnung	48	1.0	1050	2014	Gerbermühlstraße 25	60594	Frankfurt am Main, Sachsenhausen-Nord	/expose/114556984	50.1045694	50.1045694
634		93	3.0	1565	2019	Buchrainweg 100	63069	Offenbach, Lauterborn	/expose/113547442	50.093646	50.093646
635	Etagenwohnung	78	3.0	1395	2019	Hafenallee 23	63067	Offenbach, Stadtmitte	/expose/114435951		
636	Etagenwohnung	75	2.0	1252	2019	Mainzer Landstraße 385	60326	Frankfurt am Main, Gallusviertel	/expose/114277357	50.1033584	50.1033584
637		89	3.0	1391	2015	Speicherstraße 26	60327	Frankfurt am Main, Gutleutviertel	/expose/114554529	50.1008916	50.1008916
638	Etagenwohnung	102	3.0	1672	2019	Bettinastr. 77-81	63067	Offenbach am Main, Stadtmitte	/expose/113232560		
639	Etagenwohnung	38	1.0	1413	2017	Große Gallusstraße 16-18	60312	Frankfurt am Main, Innenstadt	/expose/114097743	50.1115797	50.1115797
640		112	4.0	1480	1925		61184	Karben, Wetteraukreis	/expose/114556788	50.36278	50.36278
641	Etagenwohnung	62	2.0	1200	2019	Hafenallee 39	63067	Offenbach, Stadtmitte	/expose/114435902		
642	Etagenwohnung	54	2.0	790	1996		61118	Bad Vilbel, Wetteraukreis	/expose/114554663	50.36278	50.36278
643	Dachgeschoss	106	4.0	1842	2019	Lahnstraße 94	60326	Frankfurt am Main, Gallusviertel	/expose/114277341	50.1006687	50.1006687
644	Dachgeschoss	91	3.0	1562	2019	Mainzer Landstraße 385	60326	Frankfurt am Main, Gallusviertel	/expose/114277306	50.1033584	50.1033584
645	Etagenwohnung	70		1428		Georg-Voigt-Straße 11-15	60325	Frankfurt am Main, Westend-Süd	/expose/112546302	50.11651	50.11651
646	Etagenwohnung	76	2.0	1254	2019	Mainzer Landstraße 385	60326	Frankfurt am Main, Gallusviertel	/expose/114277364	50.1033584	50.1033584
647	Etagenwohnung	97	4.0	1565	2019	Lahnstraße 92	60326	Frankfurt am Main, Gallusviertel	/expose/114277345	50.1006687	50.1006687
648	Etagenwohnung	46	2.0	1224		Georg-Voigt-Straße 11-15	60325	Frankfurt am Main, Westend-Süd	/expose/111751830	50.11651	50.11651
649	Etagenwohnung	76	2.0	1655	2018	Wendelsweg 60	60599	Frankfurt am Main, Sachsenhausen-Süd	/expose/114032716	47.28495	47.28495
650	Etagenwohnung	76	2.0	1255	2019	Mainzer Landstraße 385	60326	Frankfurt am Main, Gallusviertel	/expose/114277374	50.1033584	50.1033584
651	Etagenwohnung	86	3.0	3260	2017	Große Gallusstraße 16-18	60312	Frankfurt am Main, Innenstadt	/expose/113936529	50.1115797	50.1115797
652	Etagenwohnung	66	2.0	990	1900	Taunusstr. 43	63067	Offenbach, Stadtmitte	/expose/114557261		
653	Etagenwohnung	60	3.0	1400		Lange Straße 20	60311	Frankfurt am Main, Innenstadt	/expose/114555383	50.1090359	50.1090359
654		111	3.0	1501	2016	Saonestraße 17	60528	Frankfurt am Main, Niederrad	/expose/114554533	50.08309	50.08309
655		105	3.0	1606	2016	Saonestraße 13	60528	Frankfurt am Main, Niederrad	/expose/114554532	50.08309	50.08309
656	Penthouse	135	3.0	2350	2019	Hafenallee 39	63067	Offenbach, Stadtmitte	/expose/114435931		
657	Etagenwohnung	90	3.0	2100	2018	Hainer Weg 80	60599	Frankfurt, Sachsenhausen-Süd	/expose/114027950	47.28495	47.28495
658	Etagenwohnung	62	2.0	1350	2011	Kurfürstenstr. 14a	60486	Frankfurt am Main, Bockenheim	/expose/61973555	49.60669	49.60669
659	Etagenwohnung	45	1.0	205	unbekannt	Pfingstbrunnenstraße 40	60486	Frankfurt, Bockenheim	/expose/83854266	49.60669	49.60669
660	Dachgeschoss	80	3.0	1550	1880	Kurfürstenstr. 49	60486	Frankfurt am Main, Bockenheim	/expose/114237680	49.60669	49.60669
661		60	2.0	1040	unbekannt	Fritzlarer Strasse 9	60487	Frankfurt a.M. - Bockenheim, Frankfurt am Main	/expose/114435895	50.11552	50.11552
662	Etagenwohnung	81	3.0	1445	2005	Voltastraße 43	60486	Frankfurt am Main, Bockenheim	/expose/114546550	49.60669	49.60669
663	Dachgeschoss	20	1.0	440	1965		60486	Frankfurt, Bockenheim	/expose/82913104	49.60669	49.60669
664	Etagenwohnung	83	2.0	1445	2005	Voltastraße 41	60486	Frankfurt am Main, Bockenheim	/expose/113486807	49.60669	49.60669
665	Etagenwohnung	100	2.0	2080	2010	Leipziger Straße 00	60486	Frankfurt-Bockenheim, Frankfurt am Main	/expose/113395106	50.11552	50.11552
666		60	2.0	1040	unbekannt	Fritzlarer Strasse 9	60487	Frankfurt a.M. - Bockenheim, Frankfurt am Main	/expose/114435845	50.11552	50.11552
667	Maisonette	115	3.0	1950	2009	Ohmstraße 55	60486	Frankfurt am Main, Bockenheim	/expose/114348636	49.60669	49.60669
668		80	3.0	2050	1999	Ohmstr. 000	60486	Frankfurt, Bockenheim	/expose/105155544	49.60669	49.60669
669	Dachgeschoss	60	2.0	1040	unbekannt	Fritzlarer Strasse 9	60487	Frankfurt a.M. - Bockenheim, Frankfurt am Main	/expose/114435871	50.11552	50.11552
670	Etagenwohnung	50		950	2008	Galvanistraße 29	60486	Frankfurt, Bockenheim	/expose/114484217	49.60669	49.60669
671	Etagenwohnung	59	2.0	1110		Ohmstraße 9	60486	Frankfurt Bockenheim, Frankfurt am Main	/expose/114496934	50.11552	50.11552
672	Etagenwohnung	82	3.0	1695	2006		60486	Frankfurt, Bockenheim	/expose/114286860	49.60669	49.60669
673	Penthouse	85	3.0	1630	2002		60487	Frankfurt am Main, Bockenheim	/expose/57895064	49.60669	49.60669
674	Etagenwohnung	20	1.0	775	2011	Salvador-Allende-Straße X	60487	Frankfurt, Bockenheim	/expose/114524202	49.60669	49.60669
675		23	1.0	830	1988	Große Seestr. 000	60487	Frankfurt, Bockenheim	/expose/114309547	49.60669	49.60669
676	Etagenwohnung	65	2.0	1450		Kurfürstenstraße 14A	60486	Frankfurt am Main, Bockenheim	/expose/113847915	49.60669	49.60669
677	Etagenwohnung	110	2.0	2200	2010	Leipziger Straße 00	60486	Frankfurt-Bockenheim, Frankfurt am Main	/expose/113394833	50.11552	50.11552
678	Etagenwohnung	202	5.0	3350	1720		60528	Frankfurt, Niederrad	/expose/114554492	50.08309	50.08309
679	Etagenwohnung	138		1980	2001		65812	Bad Soden, Bad Soden am Taunus	/expose/114550189	50.1408	50.1408
680	Etagenwohnung	84	3.0	1360			60388	Frankfurt am Main, Bergen-Enkheim	/expose/114553753	50.15	50.15
681	Etagenwohnung	54	2.0	565	1955	Waldschmidtstraße 85	60314	Frankfurt am Main, Ostend	/expose/114557243	51.21551	51.21551
682		30	1.0	565		Theobald-Christ-Straße 11	60316	Frankfurt am Main, Ostend	/expose/114550244	51.21551	51.21551
683	Etagenwohnung	62	2.0	800		Schneidhainer Straße 6	61462	Königstein im Taunus, Hochtaunuskreis	/expose/114550707	50.28528	50.28528
684	Erdgeschosswohnung	99	3.0	1190	1968		64546	Mörfelden, Mörfelden-Walldorf	/expose/114552459	49.99472	49.99472
685	Etagenwohnung	38	1.0	919	1970		55116	Mainz, Altstadt	/expose/114550318	49.07515	49.07515
686	Etagenwohnung	48	1.0	1050	2014	Gerbermühlstraße 25	60594	Frankfurt am Main, Sachsenhausen-Nord	/expose/114556984	50.1045694	50.1045694
687		89	3.0	1391	2015	Speicherstraße 26	60327	Frankfurt am Main, Gutleutviertel	/expose/114554529	50.1008916	50.1008916
688		112	4.0	1480	1925		61184	Karben, Wetteraukreis	/expose/114556788	50.36278	50.36278
689		40	2.0	820	1975		60318	Frankfurt am Main, Nordend-West	/expose/114550604	50.12988	50.12988
690	Etagenwohnung	54	2.0	790	1996		61118	Bad Vilbel, Wetteraukreis	/expose/114554663	50.36278	50.36278
691	Etagenwohnung	115	4.0	1360		Frankfurter Str. 44	63065	Offenbach am Main, Stadtmitte	/expose/114551007		
692	Etagenwohnung	90	3.0	1300	1760	Frankfurter Straße 44	63065	Offenbach am Main, Stadtmitte	/expose/114550472		
693	Etagenwohnung	60	3.0	1400		Lange Straße 20	60311	Frankfurt am Main, Innenstadt	/expose/114555383	50.1090359	50.1090359
